name,id,email,gender,birthdate,role
Anita a/p Rangasamy,S2025779400,anita.rangasamy@student.gmi.edu.my,Female,2001-07-10,student
Haris bin Razali,S2025264905,haris.razali@student.gmi.edu.my,Male,2005-05-27,student
Kavita a/p Balakrishnan,S2025651004,kavita.balakrishnan@student.gmi.edu.my,Female,2000-11-04,student
Taufiq bin Shah,S2025560051,taufiq.shah@student.gmi.edu.my,Male,2007-08-08,student
Jia Hao a/l Yap,S2025059895,jia.hao.yap@student.gmi.edu.my,Male,2005-12-16,student
Rafiq bin Yaacob,S2025430287,rafiq.yaacob@student.gmi.edu.my,Male,2007-01-11,student
Latifah binti Halimi,S2025260223,latifah.halimi@student.gmi.edu.my,Female,2000-11-05,student
Izzah binti Zain,S2025328325,izzah.zain@student.gmi.edu.my,Female,2002-07-07,student
Nalini a/p Balakrishnan,T2025066643,nalini.balakrishnan@tto.gmi.edu.my,Female,1990-08-18,TTO
Latifah binti Omar,S2025423468,latifah.omar@student.gmi.edu.my,Female,2006-03-26,student
Talha bin Sharif,T2025204415,talha.sharif@tto.gmi.edu.my,Male,1982-03-14,TTO
Jia Yi a/p Goh,S2025310109,jia.yi.goh@student.gmi.edu.my,Female,2005-04-19,student
Ai Ling a/p Koh,S2025776728,ai.ling.koh@student.gmi.edu.my,Female,2007-07-31,student
Danish bin Sulaiman,S2025537673,danish.sulaiman@student.gmi.edu.my,Male,2006-07-13,student
Mani a/l Balakrishnan,S2025860047,mani.balakrishnan@student.gmi.edu.my,Male,2005-08-13,student
Yee Ling a/p Tan,S2025195173,yee.ling.tan@student.gmi.edu.my,Female,2005-04-19,student
Jia Hao a/l Koh,S2025038254,jia.hao.koh@student.gmi.edu.my,Male,2003-09-07,student
Suresh a/l Murugan,S2025596953,suresh.murugan@student.gmi.edu.my,Male,2005-05-17,student
Latifah binti Yahya,S2025522836,latifah.yahya@student.gmi.edu.my,Female,2000-12-23,student
Iqbal bin Azman,F2025346265,iqbal.azman@staff.gmi.edu.my,Male,1991-04-26,staff
Yu Xuan a/l Lee,T2025746695,yu.xuan.lee@tto.gmi.edu.my,Male,1985-02-18,TTO
Yusuf bin Ahmad,S2025240266,yusuf.ahmad@student.gmi.edu.my,Male,2004-05-26,student
Han Bin a/l Wong,S2025149760,han.wong@student.gmi.edu.my,Male,2007-03-06,student
Liang a/l Chia,S2025847527,liang.chia@student.gmi.edu.my,Male,2005-04-05,student
Zhi Yang a/l Liew,S2025100941,zhi.yang.liew@student.gmi.edu.my,Male,2003-06-25,student
Nalini a/p Gopal,S2025387970,nalini.gopal@student.gmi.edu.my,Female,2007-07-23,student
Vijay a/l Balakrishnan,S2025000036,vijay.balakrishnan@student.gmi.edu.my,Male,2000-02-15,student
Yu Xuan a/l Chen,S2025546732,yu.xuan.chen@student.gmi.edu.my,Male,2003-11-01,student
Xue Ting a/p Chia,S2025805002,xue.ting.chia@student.gmi.edu.my,Female,2002-07-28,student
Kai Wen a/l Ng,S2025945288,kai.wen.ng@student.gmi.edu.my,Male,2006-12-01,student
Arif bin Sharif,S2025420420,arif.sharif@student.gmi.edu.my,Male,2003-12-13,student
Han Bin a/l Chai,S2025155415,han.chai@student.gmi.edu.my,Male,2002-11-21,student
Azlan bin Jamil,T2025557801,azlan.jamil@tto.gmi.edu.my,Male,1977-03-06,TTO
Saravanan a/l Perumal,S2025315852,saravanan.perumal@student.gmi.edu.my,Male,2001-03-08,student
Khai Ming a/l Wong,S2025858009,khai.ming.wong@student.gmi.edu.my,Male,2001-07-10,student
Priya a/p Balakrishnan,S2025271528,priya.balakrishnan@student.gmi.edu.my,Female,2005-09-17,student
Mariam binti Zawawi,S2025800374,mariam.zawawi@student.gmi.edu.my,Female,2006-08-10,student
Anita a/p Balakrishnan,T2025745440,anita.balakrishnan@tto.gmi.edu.my,Female,1989-05-29,TTO
Zi Ying a/p Lee,S2025015033,zi.ying.lee@student.gmi.edu.my,Female,2006-09-28,student
Raja a/l Muthu,S2025361107,raja.muthu@student.gmi.edu.my,Male,2002-07-25,student
Deepa a/p Murugan,S2025781554,deepa.murugan@student.gmi.edu.my,Female,2007-02-23,student
Shalini a/p Raman,S2025522713,shalini.raman@student.gmi.edu.my,Female,2002-03-20,student
Yan Yi a/p Lee,S2025997213,yan.yi.lee@student.gmi.edu.my,Female,2000-01-04,student
Wei Han a/l Teh,S2025314639,wei.han.teh@student.gmi.edu.my,Male,2002-09-10,student
Priya a/p Raman,S2025054096,priya.raman@student.gmi.edu.my,Female,2006-07-08,student
Zi Hao a/l Liew,S2025605389,zi.hao.liew@student.gmi.edu.my,Male,2003-10-21,student
Luqman bin Azman,T2025999705,luqman.azman@tto.gmi.edu.my,Male,1984-08-22,TTO
Azlan bin Yaacob,S2025761264,azlan.yaacob@student.gmi.edu.my,Male,2000-07-08,student
Wei Jian a/l Yap,S2025271329,wei.jian.yap@student.gmi.edu.my,Male,2005-01-06,student
Nadhirah binti Halimi,S2025259950,nadhirah.halimi@student.gmi.edu.my,Female,2004-09-17,student
Deepa a/p Muthu,S2025995488,deepa.muthu@student.gmi.edu.my,Female,2003-10-10,student
Farhan bin Hashim,S2025711377,farhan.hashim@student.gmi.edu.my,Male,2006-10-30,student
Saravanan a/l Raman,T2025566714,saravanan.raman@tto.gmi.edu.my,Male,1980-01-07,TTO
Mani a/l Subramaniam,S2025463031,mani.subramaniam@student.gmi.edu.my,Male,2003-12-01,student
Nisa binti Nawawi,S2025469970,nisa.nawawi@student.gmi.edu.my,Female,2002-04-11,student
Yan Yi a/p Teh,T2025514551,yan.yi.teh@tto.gmi.edu.my,Female,1982-10-27,TTO
Karthik a/l Perumal,S2025391167,karthik.perumal@student.gmi.edu.my,Male,2001-07-23,student
Mani a/l Perumal,S2025909927,mani.perumal@student.gmi.edu.my,Male,2004-09-08,student
Qin Yi a/p Chai,S2025895256,qin.yi.chai@student.gmi.edu.my,Female,2003-05-15,student
Mei Ling a/p Teh,S2025301774,mei.ling.teh@student.gmi.edu.my,Female,2001-12-14,student
Wei Jian a/l Chai,S2025705836,wei.jian.chai@student.gmi.edu.my,Male,2004-10-19,student
Hao a/l Koh,S2025409767,hao.koh@student.gmi.edu.my,Male,2001-12-22,student
Kai Wen a/l Yeo,S2025056140,kai.wen.yeo@student.gmi.edu.my,Male,2002-08-06,student
Karthik a/l Murugan,S2025717863,karthik.murugan@student.gmi.edu.my,Male,2006-02-03,student
Faris bin Othman,S2025515914,faris.othman@student.gmi.edu.my,Male,2003-07-18,student
Suresh a/l Subramaniam,S2025271681,suresh.subramaniam@student.gmi.edu.my,Male,2007-09-09,student
Kavita a/p Muthu,S2025126578,kavita.muthu@student.gmi.edu.my,Female,2001-02-03,student
Mariam binti Shukri,T2025689157,mariam.shukri@tto.gmi.edu.my,Female,1979-04-24,TTO
Zafran bin Sani,S2025747174,zafran.sani@student.gmi.edu.my,Male,2002-06-02,student
Qistina binti Aziz,S2025384828,qistina.aziz@student.gmi.edu.my,Female,2000-04-15,student
